"","identifier","address","lat","long"
"1","Cafe Griensteidl","Michaelerplatz 2",48.2083315,16.3662247
"2","Cafe Imperial","Kaerntner Ring 16",48.2010498,16.3728336778046
"3","Cafe Kremser","Kaerntner Ring 8",48.2016507,16.3710087829938
"4","Cafe Union","Schubertring 2",48.203383,16.3760924
"5","Cafe Heydner","Graben 29A",48.208641056403316,16.3707018939742
"6","Arkadencafe","Universitaetsstrasse 3",48.21410149678698,16.358857389014084
"7","Cafe Scheidl","Kaerntner Strasse",48.2030525,16.370071
"8","Cafe Anker","Hoher Markt 10",48.2109441,16.3733515
"9","Cafe Reichsrath (Inh. Karl Auboeck) / alternativ Cafe Auboeck","Rathausplatz 8",48.21082360183143, 16.358452247993892
"10","Cafe Scheuchenstuel","Wollzeile 10",48.2086459,16.3752673
"11","Cafe Rebhuhn","Goldschmiedgasse 6",48.2088193,16.3712535
"12","Cafe de l'Europe","Graben 31",48.20888759687557,16.371172600001113
"13","Cafe Kaiserhof (Inh. Johann Wortner)","Reichsrathstrasse 17",48.21394509117566,16.359060963768826
"14","Cafe Edison","Alser Strasse 9",48.2146792,16.3539219
"15","Cafe Central","Herrengasse 14",48.21054175412,16.365380260446248
"16","Cafe Kugel","Am Hof 11",48.2116177,16.3684599
"17","Cafe Pucher","Kohlmarkt 8-10",48.2088283,16.3674569
"18","Cafe Stukart","Alsergrund",48.22507335,16.3583975990458
"19","Cafe Parisfal","Walfischgasse 13",48.2031615,16.3725768
"20","Cafe Herrenhof","Herrengasse 10",48.210072853173564,16.3661299060665
"21","Cafe de L'Opera","Opernring 1",48.2022755,16.3674206
"22","Cafe Ritz","Schubertring 5-7",48.2028083,16.3760187
